Data,Competicao,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Vencedor
02/05/2026,Serie A,Cruzeiro,Atletico,1,3,Atletico
07/03/2026,Mineiro,Cruzeiro,Atletico,1,0,Cruzeiro
24/01/2026,Mineiro,Atletico,Cruzeiro,2,1,Atletico
15/10/2025,Serie A,Atletico,Cruzeiro,1,1,Empate
11/09/2025,Copa do Brasil,Cruzeiro,Atletico,2,0,Cruzeiro
27/08/2025,Copa do Brasil,Atletico,Cruzeiro,0,2,Cruzeiro
18/05/2025,Serie A,Cruzeiro,Atletico,0,0,Empate
08/02/2025,Mineiro,Cruzeiro,Atletico,0,2,Atletico
10/08/2024,Serie A,Cruzeiro,Atletico,0,0,Empate
20/04/2024,Serie A,Atletico,Cruzeiro,3,0,Atletico
06/04/2024,Mineiro,Cruzeiro,Atletico,1,3,Atletico
29/03/2024,Mineiro,Atletico,Cruzeiro,2,2,Empate
02/02/2024,Mineiro,Atletico,Cruzeiro,0,2,Cruzeiro
21/10/2023,Serie A,Atletico,Cruzeiro ,0,1,Cruzeiro 
02/06/2023,Serie A,Cruzeiro,Atletico,0,1,Atletico
13/02/2023,Mineiro,Cruzeiro,Atletico,1,1,Empate
01/04/2022,Mineiro,Atletico,Cruzeiro,3,1,Atletico
05/03/2022,Mineiro,Atletico,Cruzeiro,2,1,Atletico
10/04/2021,Mineiro,Cruzeiro,Atletico,1,0,Cruzeiro
06/03/2020,Mineiro,Atletico,Cruzeiro,2,1,Atletico
09/11/2019,Serie A,Cruzeiro,Atletico,0,0,Empate
04/08/2019,Serie A,Atletico,Cruzeiro,2,0,Atletico
16/07/2019,Copa do Brasil,Atletico,Cruzeiro,2,0,Atletico
10/07/2019,Copa do Brasil,Cruzeiro,Atletico,3,0,Cruzeiro
19/04/2019,Mineiro,Atletico,Cruzeiro,1,1,Empate
13/04/2019,Mineiro,Cruzeiro,Atletico,2,1,Cruzeiro
26/01/2019,Mineiro,Cruzeiro,Atletico,1,1,Empate
15/09/2018,Serie A,Cruzeiro,Atletico,0,0,Empate
18/05/2018,Serie A,Atletico,Cruzeiro,1,0,Atletico
07/04/2018,Mineiro,Cruzeiro,Atletico,2,0,Cruzeiro
31/03/2018,Mineiro,Atletico,Cruzeiro,3,1,Atletico
03/03/2018,Mineiro,Atletico,Cruzeiro,0,1,Cruzeiro
21/10/2017,Serie A,Cruzeiro,Atletico,1,3,Atletico
01/07/2017,Serie A,Atletico,Cruzeiro,3,1,Atletico
06/05/2017,Mineiro,Atletico,Cruzeiro,2,1,Atletico
29/04/2017,Mineiro,Cruzeiro,Atletico,0,0,Empate
31/03/2017,Mineiro,Cruzeiro,Atletico,2,1,Cruzeiro
01/02/2017,Primeira Liga do Brasil,Cruzeiro,Atletico,1,0,Cruzeiro
17/09/2016,Serie A,Cruzeiro,Atletico,1,1,Empate
11/06/2016,Serie A,Atletico,Cruzeiro,2,3,Cruzeiro
26/03/2016,Mineiro,Atletico,Cruzeiro,0,1,Cruzeiro
12/09/2015,Serie A,Cruzeiro,Atletico,1,1,Empate
05/06/2015,Serie A,Atletico,Cruzeiro,1,3,Cruzeiro
18/04/2015,Mineiro,Cruzeiro,Atletico,1,2,Atletico
11/04/2015,Mineiro,Atletico,Cruzeiro,1,1,Empate
07/03/2015,Mineiro,Cruzeiro,Atletico,1,1,Empate
26/11/2014,Copa do Brasil,Cruzeiro,Atletico,0,1,Atletico
12/11/2014,Copa do Brasil,Atletico,Cruzeiro,2,0,Atletico
20/09/2014,Serie A,Cruzeiro,Atletico,2,3,Atletico
10/05/2014,Serie A,Atletico,Cruzeiro,2,1,Atletico
12/04/2014,Mineiro,Cruzeiro,Atletico,0,0,Empate
05/04/2014,Mineiro,Atletico,Cruzeiro,0,0,Empate
15/02/2014,Mineiro,Atletico,Cruzeiro,0,0,Empate
12/10/2013,Serie A,Atletico,Cruzeiro,1,0,Atletico
27/07/2013,Serie A,Cruzeiro,Atletico,4,1,Cruzeiro
18/05/2013,Mineiro,Cruzeiro,Atletico,2,1,Cruzeiro
11/05/2013,Mineiro,Atletico,Cruzeiro,3,0,Atletico
02/02/2013,Mineiro,Cruzeiro,Atletico,2,1,Cruzeiro
01/12/2012,Serie A,Atletico,Cruzeiro,3,2,Atletico
25/08/2012,Serie A,Cruzeiro,Atletico,2,2,Empate
07/04/2012,Mineiro,Atletico,Cruzeiro,2,2,Empate
03/12/2011,Serie A,Cruzeiro,Atletico,6,1,Cruzeiro
27/08/2011,Serie A,Atletico,Cruzeiro,1,2,Cruzeiro
14/05/2011,Mineiro,Cruzeiro,Atletico,2,0,Cruzeiro
07/05/2011,Mineiro,Atletico,Cruzeiro,2,1,Atletico
11/02/2011,Mineiro,Cruzeiro,Atletico,3,4,Atletico
23/10/2010,Serie A,Cruzeiro,Atletico,3,4,Atletico
31/07/2010,Serie A,Atletico,Cruzeiro,0,1,Cruzeiro
19/02/2010,Mineiro,Atletico,Cruzeiro,1,3,Cruzeiro
11/10/2009,Serie A,Atletico,Cruzeiro,0,1,Cruzeiro
11/07/2009,Serie A,Cruzeiro,Atletico,0,3,Atletico
02/05/2009,Mineiro,Atletico,Cruzeiro,1,1,Empate
25/04/2009,Mineiro,Cruzeiro,Atletico,5,0,Cruzeiro
14/02/2009,Mineiro,Cruzeiro,Atletico,2,1,Cruzeiro
18/10/2008,Serie A,Atletico,Cruzeiro,0,2,Cruzeiro
12/07/2008,Serie A,Cruzeiro,Atletico,2,1,Cruzeiro
15/09/2007,Serie A,Atletico,Cruzeiro,3,4,Cruzeiro
23/06/2007,Serie A,Cruzeiro,Atletico,4,2,Cruzeiro
15/10/2005,Serie A,Atletico,Cruzeiro,0,1,Cruzeiro
09/07/2005,Serie A,Cruzeiro,Atletico,2,1,Cruzeiro
22/10/2004,Serie A,Cruzeiro,Atletico,0,3,Atletico
10/07/2004,Serie A,Atletico,Cruzeiro,2,0,Atletico
11/10/2003,Serie A,Atletico,Cruzeiro,0,1,Cruzeiro
14/06/2003,Serie A,Cruzeiro,Atletico,0,0,Empate
19/10/2002,Serie A,Cruzeiro,Atletico,1,2,Atletico
05/10/2001,Serie A,Cruzeiro,Atletico,2,2,Empate
29/09/2000,Serie A,Atletico,Cruzeiro,2,4,Cruzeiro
20/11/1999,Serie A,Cruzeiro,Atletico,2,3,Atletico
13/11/1999,Serie A,Atletico,Cruzeiro,4,2,Atletico
01/10/1999,Serie A,Cruzeiro,Atletico,3,0,Cruzeiro
25/07/1998,Serie A,Atletico,Cruzeiro,1,1,Empate
18/07/1997,Serie A,Atletico ,Cruzeiro,2,1,Atletico 
01/11/1996,Serie A,Cruzeiro,Atletico,2,1,Cruzeiro
11/10/1995,Serie A,Atletico,Cruzeiro,2,0,Atletico
22/11/1994,Serie A,Cruzeiro,Atletico,0,1,Atletico
22/10/1994,Serie A,Atletico,Cruzeiro,1,0,Atletico
07/07/1993,Copa de Oro Nicolaz Leoz,Atletico,Cruzeiro,5,4,Atletico
28/03/1992,Serie A,Atletico,Cruzeiro,2,0,Atletico
16/02/1991,Serie A,Cruzeiro,Atletico,2,2,Empate
29/09/1990,Serie A,Atletico,Cruzeiro,2,0,Atletico
09/12/1989,Serie A,Cruzeiro,Atletico,1,0,Cruzeiro
03/09/1988,Serie A,Cruzeiro,Atletico,4,5,Atletico